date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:42	227/227	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202016%2013:29:44%20GMT	http://shifthtml.themerex.net/robots.txt		(from )
18:59:42	29555/29555	U-----	200	untouched ('OK')	text/html	etag:W/%22552d5a56-70d1%22	http://shifthtml.themerex.net/	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/index.html	(from )
18:59:43	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202016%2013:29:45%20GMT	http://shifthtml.themerex.net/portfolio.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/portfolio.0.delayed	(from http://shifthtml.themerex.net/)
18:59:43	1150/1150	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%225356b5c4-47e%22	http://shifthtml.themerex.net/images/favicon.ico	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/favicon.ico	(from http://shifthtml.themerex.net/)
18:59:43	76910/76910	U-----	200	untouched ('OK')	text/css	etag:W/%225356b5d8-12c6e%22	http://shifthtml.themerex.net/style/style.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/style.css	(from http://shifthtml.themerex.net/)
18:59:43	3299/3299	U-----	200	untouched ('OK')	text/css	etag:W/%225356b5d8-ce3%22	http://shifthtml.themerex.net/style/responsive.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/responsive.css	(from http://shifthtml.themerex.net/)
18:59:43	47510/47510	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d4-b996%22	http://shifthtml.themerex.net/images_post/bigstock-Portrait-Of-A-Beautiful-Mature-7014470-234x234.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Portrait-Of-A-Beautiful-Mature-7014470-234x234.jpg	(from http://shifthtml.themerex.net/)
18:59:44	21132/21132	U-----	200	untouched ('OK')	text/html	etag:W/%225356b5bc-528c%22	http://shifthtml.themerex.net/blog-category-arhive.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/blog-category-arhive.html	(from http://shifthtml.themerex.net/)
18:59:44	4215/4215	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2007%20Mar%202016%2013:29:46%20GMT	http://shifthtml.themerex.net/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/cdn-cgi/l/email-protection.html	(from http://shifthtml.themerex.net/)
18:59:44	11917/11917	U-----	200	untouched ('OK')	text/html	etag:W/%225356b5bc-2be5%22	http://shifthtml.themerex.net/print.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/print.html	(from http://shifthtml.themerex.net/)
18:59:44	19021/19021	U-----	200	untouched ('OK')	text/html	etag:W/%225356b5c6-4a4d%22	http://shifthtml.themerex.net/post-text.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/post-text.html	(from http://shifthtml.themerex.net/)
18:59:45	83630/83630	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d2-146ae%22	http://shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405.jpg	(from http://shifthtml.themerex.net/)
18:59:45	37288/37288	U-----	200	untouched ('')	image/jpeg	etag:%225356b5d2-91a8%22	http://shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405-504x348.jpg	(from http://shifthtml.themerex.net/)
18:59:45	32283/32283	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d2-7e1b%22	http://shifthtml.themerex.net/images_post/bigstock-Big-green-alarm-clock-on-dark-44881654-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Big-green-alarm-clock-on-dark-44881654-504x348.jpg	(from http://shifthtml.themerex.net/)
