date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:31	227/227	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202016%2013:27:33%20GMT	http://shifthtml.themerex.net/robots.txt		(from )
18:57:31	29555/29555	---MCZ	200	added ('OK')	text/html	etag:W/%22552d5a56-70d1%22	http://shifthtml.themerex.net/	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/index.html	(from )
18:57:32	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225356b5c4-47e%22	http://shifthtml.themerex.net/images/favicon.ico	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images/favicon.ico	(from http://shifthtml.themerex.net/)
18:57:32	76910/76910	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-12c6e%22	http://shifthtml.themerex.net/style/style.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/style.css	(from http://shifthtml.themerex.net/)
18:57:32	3299/3299	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-ce3%22	http://shifthtml.themerex.net/style/responsive.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/responsive.css	(from http://shifthtml.themerex.net/)
18:57:33	21132/21132	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-528c%22	http://shifthtml.themerex.net/blog-category-arhive.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/blog-category-arhive.html	(from http://shifthtml.themerex.net/)
18:57:33	4215/4215	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202016%2013:27:35%20GMT	http://shifthtml.themerex.net/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/cdn-cgi/l/email-protection.html	(from http://shifthtml.themerex.net/)
18:57:34	11917/11917	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5bc-2be5%22	http://shifthtml.themerex.net/print.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/print.html	(from http://shifthtml.themerex.net/)
18:57:35	19021/19021	---MCZ	200	added ('OK')	text/html	etag:W/%225356b5c6-4a4d%22	http://shifthtml.themerex.net/post-text.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/post-text.html	(from http://shifthtml.themerex.net/)
18:57:35	47510/47510	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-b996%22	http://shifthtml.themerex.net/images_post/bigstock-Portrait-Of-A-Beautiful-Mature-7014470-234x234.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Portrait-Of-A-Beautiful-Mature-7014470-234x234.jpg	(from http://shifthtml.themerex.net/)
18:57:36	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Mar%202016%2013:27:38%20GMT	http://shifthtml.themerex.net/portfolio.html	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/portfolio.a.delayed	(from http://shifthtml.themerex.net/)
18:57:40	37288/37288	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d2-91a8%22	http://shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405-504x348.jpg	(from http://shifthtml.themerex.net/)
18:57:43	40017/40017	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d4-9c51%22	http://shifthtml.themerex.net/images_post/bigstock-Cheerful-red-haired-girl-15330950-504x348.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Cheerful-red-haired-girl-15330950-504x348.jpg	(from http://shifthtml.themerex.net/)
18:57:45	83630/83630	---M--	200	added ('OK')	image/jpeg	etag:%225356b5d2-146ae%22	http://shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405.jpg	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/images_post/bigstock-Beautiful-young-woman-jumping-15095405.jpg	(from http://shifthtml.themerex.net/)
